Next Price,Date,index,Random Forest,Fold,Close,20-SMA Change
continuous,time,continuous,continuous,discrete,continuous,continuous
class,meta,meta,meta,meta,,
3.42607,2023-03-13 00:00:00,1324,3.5588,1,3.44861,-0.019859
3.43359,2023-03-14 00:00:00,1325,3.56479,1,3.42607,-0.0247033
3.34343,2023-03-15 00:00:00,1326,3.5588,1,3.43359,-0.021518
3.39602,2023-03-16 00:00:00,1327,3.34232,1,3.34343,-0.0454741
3.32089,2023-03-17 00:00:00,1328,3.37273,1,3.39602,-0.0287923
3.32089,2023-03-20 00:00:00,1329,3.34232,1,3.32089,-0.047003
3.33591,2023-03-21 00:00:00,1330,3.3438,1,3.32089,-0.0439108
3.37348,2023-03-22 00:00:00,1331,3.36849,1,3.33591,-0.0368765
3.35094,2023-03-23 00:00:00,1332,3.37273,1,3.37348,-0.0234885
3.36597,2023-03-24 00:00:00,1333,3.37273,1,3.35094,-0.0274749
3.35845,2023-03-27 00:00:00,1334,3.37273,1,3.36597,-0.0210859
3.36597,2023-03-28 00:00:00,1335,3.37273,1,3.35845,-0.0223098
3.41856,2023-03-29 00:00:00,1336,3.37273,1,3.36597,-0.0171127
3.51623,2023-03-30 00:00:00,1337,3.56125,1,3.41856,0.00121022
3.50872,2023-03-31 00:00:00,1338,3.57728,1,3.51623,0.03061
3.5538,2023-04-03 00:00:00,1339,3.51883,1,3.50872,0.0296548
3.60639,2023-04-04 00:00:00,1340,3.56423,1,3.5538,0.0435742
3.53126,2023-04-06 00:00:00,1341,3.67475,1,3.60639,0.0568032
3.5538,2023-04-11 00:00:00,1342,3.58836,1,3.53126,0.0335348
3.53126,2023-04-12 00:00:00,1343,3.56423,1,3.5538,0.037167
3.50872,2023-04-13 00:00:00,1344,3.58836,1,3.53126,0.0293473
3.50121,2023-04-14 00:00:00,1345,3.51883,1,3.50872,0.0215464
3.52375,2023-04-17 00:00:00,1346,3.57883,1,3.50121,0.0183567
3.45613,2023-04-18 00:00:00,1347,3.60553,1,3.52375,0.0222319
3.47867,2023-04-19 00:00:00,1348,3.56545,1,3.45613,0.00174211
3.44861,2023-04-20 00:00:00,1349,3.56545,1,3.47867,0.00597507
3.41856,2023-04-21 00:00:00,1350,3.56545,1,3.44861,-0.00455423
3.34343,2023-04-24 00:00:00,1351,3.56125,1,3.41856,-0.0144049
3.3284,2023-04-25 00:00:00,1352,3.36849,1,3.34343,-0.0356485
3.26829,2023-04-26 00:00:00,1353,3.3438,1,3.3284,-0.0396706
3.27581,2023-04-27 00:00:00,1354,3.34232,1,3.26829,-0.0556822
3.30586,2023-04-28 00:00:00,1355,3.34232,1,3.27581,-0.0523799
3.26078,2023-05-02 00:00:00,1356,3.3438,1,3.30586,-0.0428541
3.33591,2023-05-03 00:00:00,1357,3.34232,1,3.26078,-0.0537446
3.3284,2023-05-04 00:00:00,1358,3.37273,1,3.33591,-0.0294022
3.34343,2023-05-05 00:00:00,1359,3.37273,1,3.3284,-0.0290412
3.28332,2023-05-08 00:00:00,1360,3.37273,1,3.34343,-0.0216555
3.24575,2023-05-09 00:00:00,1361,3.36849,1,3.28332,-0.0346808
3.20068,2023-05-10 00:00:00,1362,3.3438,1,3.24575,-0.0417036
3.16311,2023-05-11 00:00:00,1363,3.28548,1,3.20068,-0.0500612
3.23073,2023-05-12 00:00:00,1364,3.28548,1,3.16311,-0.0560537
3.20068,2023-05-15 00:00:00,1365,3.31017,1,3.23073,-0.0318585
3.16311,2023-05-16 00:00:00,1366,3.31017,1,3.20068,-0.036526
3.17062,2023-05-17 00:00:00,1367,3.28548,1,3.16311,-0.0426378
3.1556,2023-05-18 00:00:00,1368,3.31017,1,3.17062,-0.0361996
3.24575,2023-05-19 00:00:00,1369,3.31017,1,3.1556,-0.036034
3.25327,2023-05-22 00:00:00,1370,3.37273,1,3.24575,-0.00541036
3.23073,2023-05-23 00:00:00,1371,3.37273,1,3.25327,-0.000577097
3.14057,2023-05-24 00:00:00,1372,3.31017,1,3.23073,-0.00578024
3.11051,2023-05-25 00:00:00,1373,3.31017,1,3.14057,-0.0307247
3.11803,2023-05-29 00:00:00,1374,3.31017,1,3.11051,-0.0376571
3.07295,2023-05-30 00:00:00,1375,3.31017,1,3.11803,-0.0329721
2.99782,2023-05-31 00:00:00,1376,3.28548,1,3.07295,-0.0434986
3.12554,2023-06-01 00:00:00,1377,3.28548,1,2.99782,-0.0630503
3.13305,2023-06-02 00:00:00,1378,3.31017,1,3.12554,-0.0199081
3.1556,2023-06-05 00:00:00,1379,3.31017,1,3.13305,-0.014534
3.17062,2023-06-06 00:00:00,1380,3.31017,1,3.1556,-0.00450345
3.2157,2023-06-07 00:00:00,1381,3.31017,1,3.17062,0.00201825
3.27156,2023-06-08 00:00:00,1382,3.31017,1,3.2157,0.0167478
3.30348,2023-06-09 00:00:00,1383,3.37273,1,3.27156,0.0332506
3.35135,2023-06-12 00:00:00,1384,3.37273,1,3.30348,0.0410236
3.31145,2023-06-13 00:00:00,1385,3.37273,1,3.35135,0.0541075
3.36731,2023-06-14 00:00:00,1386,3.37273,1,3.31145,0.0397472
3.43913,2023-06-15 00:00:00,1387,3.37273,1,3.36731,0.0539064
3.39923,2023-06-16 00:00:00,1388,3.56545,1,3.43913,0.0718793
3.37529,2023-06-19 00:00:00,1389,3.48961,1,3.39923,0.0554374
3.35933,2023-06-20 00:00:00,1390,3.37273,1,3.37529,0.0459014
3.35135,2023-06-21 00:00:00,1391,3.37273,1,3.35933,0.0392483
3.33539,2023-06-23 00:00:00,1392,3.37273,1,3.35135,0.034849
3.36731,2023-06-26 00:00:00,1393,3.37273,1,3.33539,0.0268325
3.38327,2023-06-27 00:00:00,1394,3.37273,1,3.36731,0.032577
3.28752,2023-06-28 00:00:00,1395,3.37273,1,3.38327,0.0332687
3.31145,2023-06-29 00:00:00,1396,3.37273,1,3.28752,0.000746355
3.32741,2023-06-30 00:00:00,1397,3.37273,1,3.31145,0.00324413
3.33539,2023-07-03 00:00:00,1398,3.37273,1,3.32741,0.00500561
3.28752,2023-07-04 00:00:00,1399,3.37273,1,3.33539,0.00434679
3.18378,2023-07-05 00:00:00,1400,3.37273,1,3.28752,-0.0120319
3.1758,2023-07-06 00:00:00,1401,3.28548,1,3.18378,-0.0433949
3.31943,2023-07-07 00:00:00,1402,3.28548,1,3.1758,-0.0452201
3.26358,2023-07-10 00:00:00,1403,3.37273,1,3.31943,-0.0027567
3.23166,2023-07-11 00:00:00,1404,3.37273,1,3.26358,-0.0189495
3.31145,2023-07-12 00:00:00,1405,3.31017,1,3.23166,-0.0267932
3.2955,2023-07-13 00:00:00,1406,3.37273,1,3.31145,-0.00276339
3.23166,2023-07-14 00:00:00,1407,3.37273,1,3.2955,-0.0064951
3.2157,2023-07-18 00:00:00,1408,3.31017,1,3.23166,-0.0226834
3.20772,2023-07-19 00:00:00,1409,3.31017,1,3.2157,-0.0248034
3.20772,2023-07-20 00:00:00,1410,3.31017,1,3.20772,-0.0247452
3.16783,2023-07-21 00:00:00,1411,3.31017,1,3.20772,-0.0224924
3.26358,2023-07-24 00:00:00,1412,3.31017,1,3.16783,-0.0319434
3.27954,2023-07-25 00:00:00,1413,3.37273,1,3.26358,-0.00158679
3.33539,2023-07-26 00:00:00,1414,3.37273,1,3.27954,0.00464433
3.35135,2023-07-27 00:00:00,1415,3.37273,1,3.33539,0.0225048
3.36731,2023-07-28 00:00:00,1416,3.37273,1,3.35135,0.026393
3.31943,2023-07-31 00:00:00,1417,3.37273,1,3.36731,0.0303992
3.27156,2023-08-01 00:00:00,1418,3.37273,1,3.31943,0.0158731
3.24762,2023-08-02 00:00:00,1419,3.37273,1,3.27156,0.00219994
3.23964,2023-08-03 00:00:00,1420,3.37273,1,3.24762,-0.00452474
3.27954,2023-08-04 00:00:00,1421,3.37273,1,3.23964,-0.00782014
3.22368,2023-08-07 00:00:00,1422,3.37273,1,3.27954,0.00280588
3.23166,2023-08-08 00:00:00,1423,3.31017,1,3.22368,-0.0128283
3.27156,2023-08-09 00:00:00,1424,3.31017,1,3.23166,-0.00990098
3.2157,2023-08-10 00:00:00,1425,3.37273,1,3.27156,0.00171022
3.2157,2023-08-11 00:00:00,1426,3.31017,1,3.2157,-0.0139466
3.19974,2023-08-14 00:00:00,1427,3.31017,1,3.2157,-0.0127388
3.14389,2023-08-15 00:00:00,1428,3.31017,1,3.19974,-0.0171568
3.16783,2023-08-16 00:00:00,1429,3.31017,1,3.14389,-0.0332474
3.12793,2023-08-17 00:00:00,1430,3.31017,1,3.16783,-0.0252885
3.12793,2023-08-18 00:00:00,1431,3.31017,1,3.12793,-0.0363815
3.15187,2023-08-21 00:00:00,1432,3.31017,1,3.12793,-0.035789
3.12793,2023-08-22 00:00:00,1433,3.31017,1,3.15187,-0.026734
3.16783,2023-08-23 00:00:00,1434,3.31017,1,3.12793,-0.0318597
3.16783,2023-08-24 00:00:00,1435,3.31017,1,3.16783,-0.0169618
3.25672,2023-08-25 00:00:00,1436,3.31017,1,3.16783,-0.0141545
3.35369,2023-08-28 00:00:00,1437,3.37273,1,3.25672,0.0152567
3.35369,2023-08-29 00:00:00,1438,3.37273,1,3.35369,0.0449297
3.2648,2023-08-30 00:00:00,1439,3.37273,1,3.35369,0.0435943
3.33753,2023-08-31 00:00:00,1440,3.37273,1,3.2648,0.0156613
3.27288,2023-09-04 00:00:00,1441,3.37273,1,3.33753,0.0367088
3.28096,2023-09-05 00:00:00,1442,3.37273,1,3.27288,0.0167324
3.28904,2023-09-06 00:00:00,1443,3.37273,1,3.28096,0.0183368
3.27288,2023-09-07 00:00:00,1444,3.37273,1,3.28904,0.0199369
3.28096,2023-09-11 00:00:00,1445,3.37273,1,3.27288,0.014904
3.2648,2023-09-12 00:00:00,1446,3.37273,1,3.28096,0.0163815
3.28904,2023-09-13 00:00:00,1447,3.37273,1,3.2648,0.0106062
3.32137,2023-09-14 00:00:00,1448,3.37273,1,3.28904,0.0167055
3.28904,2023-09-15 00:00:00,1449,3.37273,1,3.32137,0.023889
3.32945,2023-09-18 00:00:00,1450,3.37273,1,3.28904,0.0120333
3.31329,2023-09-19 00:00:00,1451,3.37273,1,3.32945,0.0212997
3.29712,2023-09-20 00:00:00,1452,3.37273,1,3.31329,0.0134607
3.35369,2023-09-21 00:00:00,1453,3.37273,1,3.29712,0.0062815
3.32137,2023-09-22 00:00:00,1454,3.37273,1,3.35369,0.020032
3.28096,2023-09-25 00:00:00,1455,3.37273,1,3.32137,0.007847
3.28904,2023-09-26 00:00:00,1456,3.37273,1,3.28096,-0.00612002
3.25672,2023-09-27 00:00:00,1457,3.37273,1,3.28904,-0.00415946
3.32137,2023-09-28 00:00:00,1458,3.37273,1,3.25672,-0.0124969
3.2648,2023-09-29 00:00:00,1459,3.37273,1,3.32137,0.00759991
3.23247,2023-10-03 00:00:00,1460,3.37273,1,3.2648,-0.00956118
3.33753,2023-10-04 00:00:00,1461,3.31017,1,3.23247,-0.0178024
3.38602,2023-10-05 00:00:00,1462,3.37273,1,3.33753,0.013124
3.35369,2023-10-06 00:00:00,1463,3.37273,1,3.38602,0.0262062
3.36985,2023-10-09 00:00:00,1464,3.37273,1,3.35369,0.0154148
3.48299,2023-10-10 00:00:00,1465,3.37273,1,3.36985,0.0188125
3.53148,2023-10-11 00:00:00,1466,3.56545,1,3.48299,0.0498112
3.50724,2023-10-12 00:00:00,1467,3.58836,1,3.53148,0.0601649
3.49915,2023-10-13 00:00:00,1468,3.55621,1,3.50724,0.0494499
3.47491,2023-10-16 00:00:00,1469,3.57883,1,3.49915,0.0442541
3.50724,2023-10-17 00:00:00,1470,3.56545,1,3.47491,0.0341511
3.5234,2023-10-18 00:00:00,1471,3.55621,1,3.50724,0.0410171
3.51532,2023-10-19 00:00:00,1472,3.60553,1,3.5234,0.0425634
3.58805,2023-10-20 00:00:00,1473,3.57728,1,3.51532,0.0368251
3.50724,2023-10-24 00:00:00,1474,3.67163,1,3.58805,0.0546318
3.63653,2023-10-25 00:00:00,1475,3.55621,1,3.50724,0.0280706
3.70118,2023-10-26 00:00:00,1476,3.62433,1,3.63653,0.0604455
3.76583,2023-10-27 00:00:00,1477,3.70235,1,3.70118,0.0728507
3.77391,2023-10-30 00:00:00,1478,3.71001,1,3.76583,0.083595
3.79816,2023-10-31 00:00:00,1479,3.71495,1,3.77391,0.0788956
3.8224,2023-11-01 00:00:00,1480,3.7225,1,3.79816,0.0776107
3.79816,2023-11-02 00:00:00,1481,3.8025,1,3.8224,0.0754889
3.83856,2023-11-03 00:00:00,1482,3.7225,1,3.79816,0.0617868
3.74967,2023-11-06 00:00:00,1483,3.88443,1,3.83856,0.0663374
3.76583,2023-11-07 00:00:00,1484,3.75971,1,3.74967,0.0359456
3.76583,2023-11-08 00:00:00,1485,3.72908,1,3.76583,0.0347508
3.73351,2023-11-09 00:00:00,1486,3.71965,1,3.76583,0.0307455
3.75775,2023-11-10 00:00:00,1487,3.69405,1,3.73351,0.0190802
3.79816,2023-11-13 00:00:00,1488,3.7267,1,3.75775,0.0222027
3.83048,2023-11-14 00:00:00,1489,3.74524,1,3.79816,0.0290091
3.80624,2023-11-15 00:00:00,1490,3.88745,1,3.83048,0.0327922
3.79008,2023-11-16 00:00:00,1491,3.77746,1,3.80624,0.0221355
3.86281,2023-11-17 00:00:00,1492,3.7805,1,3.79008,0.0141637
3.91129,2023-11-20 00:00:00,1493,3.96254,1,3.86281,0.0288421
3.87897,2023-11-21 00:00:00,1494,3.91828,1,3.91129,0.037291
3.91129,2023-11-22 00:00:00,1495,3.96801,1,3.87897,0.0236724
3.87897,2023-11-23 00:00:00,1496,3.97253,1,3.91129,0.0284743
3.89513,2023-11-24 00:00:00,1497,3.9536,1,3.87897,0.0175959
3.87897,2023-11-27 00:00:00,1498,3.94777,1,3.89513,0.0201058
3.96786,2023-11-28 00:00:00,1499,3.9536,1,3.87897,0.0144774
4.05676,2023-11-29 00:00:00,1500,3.92799,1,3.96786,0.035428
4.00827,2023-11-30 00:00:00,1501,4.05365,1,4.05676,0.0553979
4.05676,2023-12-01 00:00:00,1502,4.02282,1,4.00827,0.0399413
3.94362,2023-12-04 00:00:00,1503,4.05365,1,4.05676,0.0495505
3.9517,2023-12-05 00:00:00,1504,3.95465,1,3.94362,0.0177269
3.91129,2023-12-06 00:00:00,1505,3.9767,1,3.9517,0.0173722
3.89513,2023-12-07 00:00:00,1506,3.89767,1,3.91129,0.00508774
3.83048,2023-12-08 00:00:00,1507,3.88205,1,3.89513,-0.00113978
3.86281,2023-12-11 00:00:00,1508,3.84462,1,3.83048,-0.0186336
3.86281,2023-12-12 00:00:00,1509,3.88983,1,3.86281,-0.0111708
4.01635,2023-12-13 00:00:00,1510,3.88983,1,3.86281,-0.0115797
4.07292,2023-12-14 00:00:00,1511,3.99156,1,4.01635,0.0249536
4.04867,2023-12-15 00:00:00,1512,4.02042,1,4.07292,0.0356517
4.04867,2023-12-18 00:00:00,1513,4.02314,1,4.04867,0.0270603
3.99211,2023-12-19 00:00:00,1514,4.02314,1,4.04867,0.0252737
3.96786,2023-12-20 00:00:00,1515,4.02784,1,3.99211,0.00950238
4.02443,2023-12-21 00:00:00,1516,3.94592,1,3.96786,0.0026546
4.00827,2023-12-22 00:00:00,1517,3.99749,1,4.02443,0.0150836
4.01635,2023-12-27 00:00:00,1518,4.0351,1,4.00827,0.0095665
4.07292,2023-12-28 00:00:00,1519,4.00826,1,4.01635,0.0098547
4.00827,2023-12-29 00:00:00,1520,4.02042,1,4.07292,0.0227271
4.00827,2024-01-02 00:00:00,1521,4.0351,1,4.00827,0.00710664
4.06484,2024-01-03 00:00:00,1522,4.0351,1,4.00827,0.00710664
4.04059,2024-01-04 00:00:00,1523,4.03272,1,4.06484,0.0212162
3.93554,2024-01-05 00:00:00,1524,4.0296,1,4.04059,0.0138902
3.96786,2024-01-08 00:00:00,1525,3.90432,1,3.93554,-0.0122705
3.99211,2024-01-09 00:00:00,1526,3.95966,1,3.96786,-0.00486429
4.04059,2024-01-10 00:00:00,1527,4.00423,1,3.99211,-1.49306e-08
4.12949,2024-01-11 00:00:00,1528,4.02611,1,4.04059,0.00948914
4.12949,2024-01-12 00:00:00,1529,4.02948,1,4.12949,0.0282724
4.04867,2024-01-15 00:00:00,1530,4.02948,1,4.12949,0.0248696
3.94362,2024-01-16 00:00:00,1531,4.0145,1,4.04867,0.00441061
3.84665,2024-01-17 00:00:00,1532,3.91903,1,3.94362,-0.0200802
3.85473,2024-01-18 00:00:00,1533,3.83549,1,3.84665,-0.0417715
3.81432,2024-01-19 00:00:00,1534,3.89934,1,3.85473,-0.0374331
